Product Code,Cat 1,Cat 2,Cat 3,Item,Sub Category,Range/Brand,Length cm (approx),Height cm (approx),Width cm (approx),Depth cm (approx),Size (all sizes are approximate),Fabric,Colour,Web product Name,Product Description,User Tags,image name 1 (same as sku),image name 2 (same as sku),image name 3 (same as sku),Image name 4 (same as sku),Cost Price (ex VAT,Mark up %,Selling Price (ex VAT),Returns & Delivery
,Bedroom,,,Chest of 3 + 2 drawers,Chests of Drawers,Manhattan,,99,80.5,40,,High Gloss,White ,Mia 3+2 Drawer Chest,"The Mia three plus two drawer chest offers a design-led storage solution. This linear piece will slot effortlessly into any contemporary bedroom space. Go modern with minimal accessories, or create a cluster of conversation pieces to strike a contrast with the high gloss finish. Matching items available. Comes with one year warranty.","Mia,chest,gloss",Manhattan 3 + 2 drawer chest,Manhattan Room Set,,,£98.95,75%,£173.16,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Bedroom,,,Chest of  6  drawers,Chests of Drawers,Manhattan,,80.5,131,40,,High Gloss,White ,Mia 6 Drawer Wide Chest,"The Mia six drawer chest offers a design-led storage solution. This linear piece will slot effortlessly into any contemporary bedroom space. Go modern with minimal accessories, or create a cluster of conversation pieces to strike a contrast with the high gloss finish. Matching items available. Comes with one year warranty.","Mia,chest,gloss",Manhattan 6 drw  Wide Chest,Manhattan Room Set,,,£120.95,75%,£211.66,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Bedroom,,,"4'6"" frame only",Bed Frames,Manhattan,207,86,142,,,High Gloss,White ,Mia High Gloss Bed,"The Mia double bed offers a design-led storage solution. This linear piece will slot effortlessly into any contemporary bedroom space. Go modern with minimal accessories, or create a cluster of conversation pieces to strike a contrast with the high gloss finish. Matching items available. Comes with one year warranty.","Mia,bed,gloss",Manhattan High Gloss Bed,Manhattan Room Set,,,£131.95,75%,£230.91,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Bedroom,,,5' frame only,Bed Frames,Manhattan,211,86,158,,,High Gloss,White ,Mia High Gloss Bed,"The Mia king size bed offers a design-led storage solution. This linear piece will slot effortlessly into any contemporary bedroom space. Go modern with minimal accessories, or create a cluster of conversation pieces to strike a contrast with the high gloss finish. Matching items available. Comes with one year warranty.","Mia,bed,gloss",Manhattan High Gloss Bed,Manhattan Room Set,,,£142.95,75%,£250.16,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Bedroom,,,Bedside  3 drawer,Bedside Tables,Marlborough,,60,48,44,,Wood,Oak,Sienna 1 Drawer Bedside,"This classic one drawer bedside cabinet is crafted from solid oak and veneers with a waxed finish. You'll enjoy the beautiful natural grain of the wood, as well as enduring style and an elegant profile that will stand the test of time. Comes with one year warranty.","Sienna,bedside,oak",Marlborough 1 drawer bedside,Marlborough Room Set,,,£54.95,75%,£96.16,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Bedroom,,,Chest of  4 drawers,Chests of Drawers,Marlborough,,89,83,44,,Wood,Oak,Sienna 4 Drawer Chest,"This classic four drawer chest is crafted from solid oak and veneers with a waxed finish. You'll enjoy the beautiful natural grain of the wood, as well as enduring style and an elegant profile that will stand the test of time. Comes with one year warranty.","Sienna,chest,oak",Marlborough 4 drawer chest,Marlborough Room Set,,,£153.95,75%,£269.41,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Bedroom,,,Chest of 4 +2 drawers,Chests of Drawers,Marlborough,,107.5,83,44,,Wood,Oak,Sienna 4+2 Drawer Chest,"This classic four plus two drawer chest is crafted from solid oak and veneers with a waxed finish. You'll enjoy the beautiful natural grain of the wood, as well as enduring style and an elegant profile that will stand the test of time. Comes with one year warranty.","Sienna,chest,oak",Marlborough 4 + 2 drawer chest,Marlborough Room Set,,,£186.95,75%,£327.16,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Bedroom,,,Chest of 7 drawers narrow,Chests of Drawers,Marlborough,,141,48,44,,Wood,Oak,Sienna 7 Drawer Chest,"This classic seven drawer chest is crafted from solid oak and veneers with a waxed finish. You'll enjoy the beautiful natural grain of the wood, as well as enduring style and an elegant profile that will stand the test of time. Comes with one year warranty.","Sienna,chest,oak",Marlborough 7 drawer Chest,Marlborough Room Set,,,£164.95,75%,£288.66,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Bedroom,,,Two door Robe,Wardrobes,Marlborough,,190,97,55,,Wood,Oak,Sienna 2 Door Wardrobe,"This classic one drawer bedside cabinet is crafted from solid oak and veneers with a waxed finish. You'll enjoy the beautiful natural grain of the wood, as well as enduring style and an elegant profile that will stand the test of time. Comes with one year warranty.","Sienna,chest,oak",Marlborough 2 door Wardrobe,Marlborough Room Set,,,£224.95,75%,£393.66,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Bedroom,,,"4'6"" frame only",Bed Frames,Amsterdam,210,110,148,,,Wood,Oak,Alice Oak Bed,"This double bed is crafted from American oak and oak veneer, featuring a slated headboard and endboard. The bed features the characteristics of solid oad such as the beautiful grain detail. Has a sprung slatted base which offers heightened comfort when paired with a quality mattress, for a great night's sleep. Comes with one year warranty.","oak,double bed",Amsterdam Oak Bed HFE 150cm,Marlborough Room Set,,,£219.95,75%,£384.91,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Bedroom,,,5' frame only,Bed Frames,Amsterdam,218,110,163,,,Wood,Oak,Alice Oak Bed,"This king size bed is crafted from American oak and oak veneer, featuring a slated headboard and endboard. The bed features the characteristics of solid oad such as the beautiful grain detail. Has a sprung slatted base which offers heightened comfort when paired with a quality mattress, for a great night's sleep. Comes with one year warranty.","oak,king size bed",Amsterdam Oak Bed HFE 150cm,Marlborough Room Set,,,£230.95,75%,£404.16,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Bedroom,,,6' frame only,Bed Frames,Amsterdam,218,110,169,,,Wood,Oak,Alice Oak Bed,"This super king bed is crafted from American oak and oak veneer, featuring a slated headboard and endboard. The bed features the characteristics of solid oad such as the beautiful grain detail. Has a sprung slatted base which offers heightened comfort when paired with a quality mattress, for a great night's sleep. Comes with one year warranty.","oak,super king bed",Amsterdam Oak Bed HFE 150cm,Marlborough Room Set,,,£258.45,75%,£452.29,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Nursery,Bedroom,,Toddler Bed Frame,Bed Frames,Cameo,149,100,77,,,Stone White Lacquered,White ,Cameo Cot/Toddler Bed,Baby changing station in lovely shaker style pine. This sturdy unit is finished in stone white lacquer. Comes with one year warranty.,"cot,toddler bed,baby,child",Cameo Cot bed-toddler Bed,Cameo Nursery Room set,,,£164.95,75%,£288.66,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Nursery,,,Baby Changing Station,Baby Change Stations,Cameo,,92,93.8,55,,Stone White Lacquered,White ,Cameo Changing Station,A toddler's first grown up bed in lovely shaker style pine. This sturdy bed is finished in stone white lacquer. Comes with one year warranty. ,"changing station,baby",Cameo Changing Station,Cameo Nursery Room set,,,£142.95,75%,£250.16,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Nursery,Bedroom,,Clima Toddler Mattress ,Mattresses,Cameo,140,10,70,,,Airwave Foam,n/a,Cot/Toddler Bed Mattress,This breathable foam core mattress for our cot/toddler bed features a unique dual layer airwave system for the ultimate in children's comfort and safety. Comes with one year warranty. ,"mattress,baby,child,cot,toddler bed",Clima Smart Foam cot bed mattress,Cameo Nursery Room set,,,£54.95,75%,£96.16,"All orders are subject to acceptance and product availability. This item will be delivered in 10-15 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Nursery,Home Accessories,,Kids Night Light,Lighting,Rabbit,,27,17,17,,Ceramic,White ,Rabbit Night Light,This cute bear ornament and fun night light produces a re-assuring glow at night time. It's calming light will help your child feel safe at bedtime. Comes with one year warranty. ,"light,baby,child",250 2099,,,,£15.25,75%,£26.69,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Nursery,Home Accessories,,Kids Night Light,Lighting,Bear,,27,17,17,,Ceramic,White ,Bear Night Light,This cute bunny ornament and fun night light produces a re-assuring glow at night time. It's calming light will help your child feel safe at bedtime. Comes with one year warranty. ,"light,baby,child",250 2100,,,,£17.75,75%,£31.06,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Bedroom,,,Gel Infusion Divan,Divan Sets,Gel Infusion Divan,,,,,Single,Various,cream/Chocolate,Palace Single Bed,This beautiful single divan and mattress set has a luxury fabric pannelled headboard in your choice of cream or chocolate. The mattress offers excellent underlying support and proper spinal alignment featuring the latest gel technology which manages moisture dispersion and optimises mattress ventilation to create the ideal sleep temperature all year round. Fully encapsulated with Highgrove AdvantEdge™ to provide a wider sleep surface with total comfort and support. Care reccommendations - designed as a no-turn mattress but please regularly rotate 180° to extend mattress life and performance. Comes with one year warranty. ,"divan,single,mattress",Gel-Infusion(1),,,,£415.00,75%,£726.25,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
,Bedroom,,,Gel Infusion Divan,Divan Sets,Gel Infusion Divan,,,,,Double,Various,cream/Chocolate,Palace Double Bed,This beautiful double divan and mattress set has a luxury fabric pannelled headboard in your choice of cream or chocolate. The mattress offers excellent underlying support and proper spinal alignment featuring the latest gel technology which manages moisture dispersion and optimises mattress ventilation to create the ideal sleep temperature all year round. Fully encapsulated with Highgrove AdvantEdge™ to provide a wider sleep surface with total comfort and support. Care reccommendations - designed as a no-turn mattress but please regularly rotate 180° to extend mattress life and performance. Comes with one year warranty. ,"divan,double,mattress",Gel-Infusion(1),,,,£450.00,75%,£787.50,"All orders are subject to acceptance and product availability. This item will be delivered in 6-10 working days. The delivery period stated within which you will receive your order is approximate.  Goods will be sent to the address given by you in your order.  We will always endeavor to notify you if certain items are out of stock and offer you alternatives. In the unlikely event that you receive goods which were not what you ordered or which are damaged or defective, or are of a different quantity to that stated on your order form, we shall make good any shortage or non-delivery, replace or repair any damaged or defective goods, or refund to you the amount you paid for the goods in question provided that you notify us of the problem within 7 working days of delivery of the goods by contacting our customer service team at info@tfs.direct"
